1,0.236
2,0.128
3,0.903
4,0.782
5,0.597
6,0.555
7,0.319
8,0.294
9,0.665
10,0.609
11,0.609
12,0.232
13,0.608
14,0.931
15,0.578
16,0.209
17,0.643
18,0.864
19,0.852
20,0.299
21,0.628
22,0.404
23,0.095
24,0.297
25,0.973
26,0.358
27,0.986
28,0.119
29,0.629
30,0.669
31,0.191
32,0.996
33,0.054
34,0.698
35,0.108
36,0.341
37,0.305
38,0.508
39,0.395
40,0.886
41,0.377
42,0.623
43,0.773
44,0.652
45,0.648
46,0.874
47,0.380
48,0.032
49,0.868
50,0.856
51,0.168
52,0.212
53,0.422
54,0.520
55,0.750
56,0.818
57,0.173
58,0.774
59,0.524
60,0.947
61,0.787
62,0.906
63,0.160
64,0.304
65,0.982
66,0.605
67,0.206
68,0.368
69,0.398
70,0.359
71,0.076
72,0.011
73,0.940
74,0.871
75,0.211
76,0.804
77,0.312
78,0.529
79,0.510
80,0.920
81,0.493
82,0.088
83,0.790
84,0.724
85,0.956
86,0.952
87,0.230
88,0.370
89,0.285
90,0.325
91,0.528
92,0.134
93,0.214
94,0.159
95,0.267
96,0.522
97,0.359
98,0.066
99,0.477
100,0.857
101,0.431
102,0.138
103,0.027
104,0.983
105,0.458
106,0.996
107,0.903
108,0.885
109,0.741
110,0.098
111,0.951
112,0.243
113,0.189
114,0.699
115,0.763
116,0.895
117,0.688
118,0.451
119,0.464
120,0.581
121,0.673
122,0.021
123,0.310
124,0.422
125,0.519
126,0.611
127,0.901
128,0.192
129,0.585
130,0.796
131,0.092
132,0.189
133,0.911
134,0.758
135,0.195
136,0.372
137,0.144
138,0.901
139,0.208
140,0.551
141,0.121
142,0.934
143,0.400
144,0.741
145,0.716
146,0.191
147,0.867
148,0.050
149,0.726
150,0.976
151,0.511
152,0.648
153,0.176
154,0.636
155,0.187
156,0.631
157,0.183
158,0.563
159,0.643
160,0.101
161,0.053
162,0.149
163,0.693
164,0.151
165,0.408
166,0.338
167,0.346
168,0.779
169,0.833
170,0.943
171,0.161
172,0.452
173,0.454
174,0.430
175,0.727
176,0.958
177,0.428
178,0.960
179,0.288
180,0.380
181,0.168
182,0.929
183,0.092
184,0.476
185,0.005
186,0.840
187,0.178
188,0.846
189,0.372
190,0.795
191,0.035
192,0.149
193,0.855
194,0.151
195,0.776
196,0.236
197,0.741
198,0.472
199,0.220
200,0.460
201,0.899
202,0.132
203,0.192
204,0.188
205,0.037
206,0.976
207,0.671
208,0.661
209,0.790
210,0.945
211,0.332
212,0.068
213,0.774
214,0.576
215,0.995
216,0.907
217,0.289
218,0.588
219,0.369
220,0.262
221,0.705
222,0.241
223,0.835
224,0.432
225,0.743
226,0.906
227,0.362
228,0.730
229,0.756
230,0.933
231,0.800
232,0.297
233,0.047
234,0.836
235,0.769
236,0.164
237,0.143
238,0.478
239,0.281
240,0.721
241,0.429
242,0.912
243,0.696
244,0.464
245,0.464
246,0.166
247,0.831
248,0.557
249,0.764
250,0.269
251,0.466
252,0.185
253,0.483
254,0.479
255,0.261
256,0.052
257,0.880
258,0.877
259,0.486
260,0.085
261,0.182
262,0.324
263,0.194
264,0.614
265,0.522
266,0.492
267,0.472
268,0.870
269,0.418
270,0.944
271,0.589
